Player,Year,Pos,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,SH,SF,HBP,AVG,OBP,SLG,OPS,Team
Nick Gordon,2024,OF,29,69,275,260,29,59,11,1,8,32,5,5,11,67,0,3,1,0.227,0.258,0.369,0.627,MIA
Nick Loftin,2024,1B,26,43,170,148,15,28,4,0,1,14,1,0,19,24,1,2,1,0.189,0.282,0.236,0.518,KC
Nick Madrigal,2024,2B,27,24,93,86,5,19,3,0,0,10,1,0,4,10,1,0,3,0.221,0.28,0.256,0.536,CHC
Nick Martini,2024,OF,34,41,162,146,23,31,4,2,5,24,1,3,9,38,0,3,4,0.212,0.272,0.37,0.642,CIN
Nick Senzel,2024,OF,29,67,265,236,25,46,11,0,7,18,1,3,28,61,1,0,1,0.195,0.283,0.331,0.614,CWS
Nick Sogard,2024,SS,27,22,86,77,13,21,4,0,0,8,3,0,7,25,0,2,0,0.273,0.326,0.325,0.651,BOS
Nicky Lopez,2024,2B,29,110,439,398,40,96,12,3,1,21,5,7,37,67,6,0,4,0.241,0.312,0.294,0.606,CWS
Nico Hoerner,2024,2B,27,161,641,582,86,159,35,1,7,48,31,6,44,66,0,3,12,0.273,0.335,0.373,0.708,CHC
Niko Kavadas,2024,DH,26,27,106,93,11,17,2,0,4,8,1,0,11,41,0,0,2,0.183,0.283,0.333,0.616,LAA
Noelvi Marte,2024,3B,23,61,242,229,24,48,9,0,4,18,9,3,9,75,0,1,3,0.21,0.248,0.301,0.5489999999999999,CIN
Nolan Arenado,2024,3B,33,157,627,578,70,157,23,0,16,71,2,2,44,92,0,0,5,0.272,0.329,0.394,0.7230000000000001,STL
Nolan Gorman,2024,2B,24,101,402,365,42,74,15,0,19,50,6,1,34,151,0,2,1,0.203,0.271,0.4,0.671,STL
Nolan Jones,2024,OF,26,74,296,256,28,58,13,1,3,28,5,4,36,91,1,3,1,0.227,0.321,0.32,0.641,COL
